               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.032078,           0.0089895,           0.0031924,             0.94235,             0.93998,             0.94116,             0.51075,            0.034791,           0.0056934,           0.0023628,             0.00604,             0.00604,             0.00604
                 122,            0.032073,           0.0086318,           0.0037807,             0.94197,             0.93592,             0.94067,             0.51046,            0.034002,           0.0059849,           0.0019316,            0.006007,            0.006007,            0.006007
                 123,            0.032786,           0.0089744,           0.0030084,             0.94297,             0.94535,             0.95647,             0.53958,             0.03009,           0.0056127,            0.002576,            0.005974,            0.005974,            0.005974
                 124,            0.030923,           0.0088952,           0.0029974,             0.93957,             0.94762,             0.94538,             0.52071,            0.029615,           0.0055958,           0.0029444,            0.005941,            0.005941,            0.005941
                 125,            0.031365,           0.0086607,           0.0033036,             0.93383,             0.95641,             0.94335,             0.52122,            0.032649,           0.0057446,           0.0021456,            0.005908,            0.005908,            0.005908
                 126,             0.03137,           0.0084123,           0.0028808,             0.93252,              0.9528,             0.93664,             0.53765,            0.030512,           0.0057106,           0.0017015,            0.005875,            0.005875,            0.005875
                 127,            0.030976,           0.0086671,           0.0033678,             0.93462,             0.95543,             0.95107,              0.5373,            0.031426,           0.0055765,           0.0027775,            0.005842,            0.005842,            0.005842
                 128,            0.030477,           0.0073442,           0.0025657,             0.94064,              0.9468,             0.96372,             0.53443,             0.03136,           0.0054572,           0.0027626,            0.005809,            0.005809,            0.005809
                 129,            0.031671,           0.0088138,           0.0033092,             0.92782,             0.94129,             0.96005,             0.55223,             0.03069,           0.0055234,            0.001857,            0.005776,            0.005776,            0.005776
                 130,            0.031049,           0.0084106,           0.0035652,             0.94029,              0.9492,             0.94766,             0.53674,            0.031854,           0.0055269,           0.0018764,            0.005743,            0.005743,            0.005743
                 131,            0.030671,           0.0086541,           0.0028791,             0.92189,             0.95493,             0.95069,             0.56136,            0.032534,            0.005619,           0.0019348,             0.00571,             0.00571,             0.00571
                 132,            0.029695,           0.0083837,           0.0033855,             0.95047,              0.9291,             0.94673,             0.53407,             0.03099,           0.0055978,            0.001759,            0.005677,            0.005677,            0.005677
                 133,            0.030632,           0.0085796,           0.0035692,             0.93822,             0.93792,             0.94936,             0.53752,            0.030816,           0.0055599,           0.0019148,            0.005644,            0.005644,            0.005644
                 134,            0.031399,           0.0084571,           0.0037018,             0.93718,             0.93657,             0.94199,             0.51496,            0.031688,           0.0057074,            0.002258,            0.005611,            0.005611,            0.005611
                 135,            0.029965,            0.008554,           0.0029313,             0.93986,             0.92786,             0.95272,             0.54244,             0.03334,           0.0057828,             0.00183,            0.005578,            0.005578,            0.005578
                 136,             0.03013,           0.0085236,           0.0035083,             0.93051,             0.95251,             0.95432,             0.53974,             0.03405,           0.0056362,           0.0015263,            0.005545,            0.005545,            0.005545
                 137,            0.030663,           0.0085213,           0.0033986,              0.9336,             0.93814,             0.95612,             0.54135,            0.033344,           0.0056788,           0.0016204,            0.005512,            0.005512,            0.005512
                 138,            0.029784,           0.0085071,           0.0030387,             0.92795,             0.92798,             0.93192,             0.52591,            0.030974,           0.0056858,           0.0017975,            0.005479,            0.005479,            0.005479
                 139,             0.02936,            0.008544,           0.0027552,             0.94539,             0.95704,             0.94769,             0.55409,            0.031812,           0.0054731,           0.0024767,            0.005446,            0.005446,            0.005446
                 140,            0.030983,            0.008817,           0.0034072,             0.93142,             0.94458,             0.95708,             0.54543,            0.031617,           0.0055965,           0.0024251,            0.005413,            0.005413,            0.005413
                 141,             0.03008,           0.0092723,           0.0032095,             0.93937,             0.93168,             0.95604,             0.54699,            0.030311,           0.0057983,            0.002368,             0.00538,             0.00538,             0.00538
                 142,            0.029988,           0.0080493,           0.0029994,             0.93283,             0.95139,             0.95097,              0.5419,            0.029984,           0.0056721,           0.0021528,            0.005347,            0.005347,            0.005347
                 143,            0.029287,           0.0084707,            0.002736,             0.91948,             0.93512,             0.94796,             0.55323,            0.031453,           0.0055828,           0.0019947,            0.005314,            0.005314,            0.005314
                 144,            0.030478,           0.0084537,           0.0028653,             0.91804,             0.92874,             0.94116,             0.54598,            0.031021,           0.0059179,           0.0022098,            0.005281,            0.005281,            0.005281
                 145,            0.030663,           0.0080878,           0.0024976,             0.93348,             0.92875,             0.93885,             0.51419,            0.029548,           0.0058327,           0.0025196,            0.005248,            0.005248,            0.005248
                 146,             0.02913,           0.0085101,           0.0026602,             0.93337,             0.93759,             0.93728,             0.52386,            0.031852,           0.0057936,           0.0030025,            0.005215,            0.005215,            0.005215
                 147,            0.030058,           0.0079715,           0.0025194,             0.92581,             0.92121,             0.94349,             0.52133,            0.032456,            0.005832,           0.0030807,            0.005182,            0.005182,            0.005182
                 148,              0.0297,           0.0082889,            0.003705,             0.95593,             0.91731,             0.94273,             0.55324,             0.03245,           0.0058228,           0.0030329,            0.005149,            0.005149,            0.005149
                 149,            0.029304,           0.0084095,           0.0027935,             0.93075,             0.95012,             0.94723,             0.53666,            0.032596,           0.0057576,           0.0029664,            0.005116,            0.005116,            0.005116
                 150,            0.029517,           0.0084437,           0.0035131,             0.94575,             0.91965,             0.93692,             0.55858,            0.031021,           0.0058339,           0.0030015,            0.005083,            0.005083,            0.005083
                 151,            0.029645,           0.0080841,           0.0027842,             0.93648,              0.9195,             0.94152,             0.54638,            0.031504,           0.0058867,           0.0030781,             0.00505,             0.00505,             0.00505
                 152,            0.028667,           0.0076956,           0.0023696,             0.94358,             0.94861,             0.95005,             0.55368,              0.0311,           0.0058727,           0.0019789,            0.005017,            0.005017,            0.005017
                 153,            0.030204,           0.0083554,           0.0029634,             0.94226,              0.9533,             0.95819,             0.56757,            0.030168,           0.0057437,           0.0016294,            0.004984,            0.004984,            0.004984
                 154,            0.028664,           0.0084371,           0.0032519,             0.93671,             0.94734,             0.95661,              0.5513,            0.028961,           0.0057071,           0.0017899,            0.004951,            0.004951,            0.004951
                 155,            0.028685,           0.0086411,           0.0028689,             0.91588,             0.95696,             0.95595,             0.54814,            0.030926,           0.0056486,           0.0023814,            0.004918,            0.004918,            0.004918
                 156,            0.029402,           0.0081961,           0.0025926,             0.92619,             0.95778,             0.95512,             0.56079,            0.031912,           0.0056775,           0.0019399,            0.004885,            0.004885,            0.004885
                 157,            0.028747,           0.0081452,           0.0026402,             0.93384,             0.95465,             0.95558,             0.55178,             0.03146,           0.0057497,           0.0016783,            0.004852,            0.004852,            0.004852
